iter	RMSE
157	3.577007194
158	3.574022553
159	3.572321135
160	3.567143698
161	3.563607877
162	3.55915431
163	3.555300125
164	3.552795964
165	3.5480555
166	3.546290018
167	3.543020904
168	3.541070608
169	3.532984605
170	3.529775921
171	3.52676225
172	3.52260403
173	3.519920375
174	3.515907941
175	3.511143797
176	3.509060306
177	3.505983307
178	3.502003675
179	3.496496846
180	3.494280488
181	3.490983429
182	3.486984425
183	3.484449961
184	3.482217754
185	3.478578009
186	3.476965302
187	3.473644723
188	3.471662555
189	3.470392279
190	3.468713547
191	3.465501275
192	3.4645686
193	3.462603929
194	3.458836649
195	3.456363702
196	3.454323724
197	3.449499109
198	3.446355562
199	3.443177971
200	3.439916831
201	3.436340806
202	3.434757614
203	3.433078551
204	3.430376618
205	3.427783495
206	3.425808065
207	3.423611141
208	3.422707471
209	3.417909453
210	3.41614709
211	3.414102038
212	3.412242096
213	3.41050401
214	3.406743615
215	3.40471554
216	3.401413256
217	3.397502813
218	3.395842516
219	3.393594383
220	3.392346294
221	3.390671467
222	3.389836755
223	3.387690095
224	3.385892148
225	3.383919371
226	3.382668602
227	3.38130674
228	3.380000839
229	3.378973427
230	3.376522743
231	3.373593685
232	3.372865662
233	3.37131877
234	3.368894931
235	3.365801077
236	3.361717469
237	3.361329561
238	3.359488454
239	3.357970134
240	3.356935023
241	3.356387527
242	3.351639963
243	3.348898079
244	3.346263669
245	3.345061838
246	3.344598029
247	3.342262025
248	3.338584706
249	3.333117791
250	3.331873859
251	3.328986304
252	3.326277093
253	3.321686064
254	3.320513529
255	3.316014919
256	3.313713071
257	3.312864026
258	3.31234631
259	3.310124821
260	3.309496605
261	3.307613961
262	3.304970888
263	3.30263843
264	3.301354719
265	3.300082179
266	3.299457206
267	3.296998528
268	3.291565402
269	3.289378593
270	3.289042785
271	3.285982988
272	3.283135345
273	3.279042148
274	3.275250231
275	3.274839638
276	3.271213707
277	3.2678718
278	3.26588638
279	3.264000504
280	3.261888716
281	3.258152465
282	3.256762483
283	3.25526437
284	3.252270313
285	3.249890561
286	3.243805675
287	3.242866967
288	3.240505565
289	3.235644104
290	3.232517988
291	3.227191119
292	3.225234058
293	3.221333431
294	3.220504607
295	3.217462268
296	3.216170798
297	3.215539606
298	3.213038526
299	3.212527557
300	3.210631494
301	3.210114215
302	3.208434583
303	3.207391972
304	3.203942221
305	3.203593492
306	3.200826022
307	3.199251798
308	3.194539407
309	3.190497333
310	3.190226031
311	3.189102865
312	3.185966076
313	3.184916315
314	3.182816253
315	3.180595566
316	3.177538455
317	3.177229168
318	3.173748641
319	3.171956055
320	3.170014996
321	3.165172834
322	3.163960798
323	3.161575198
324	3.158960615
325	3.15829113
326	3.154539323
327	3.150501972
328	3.14999026
329	3.146326161
330	3.14368173
331	3.140366252
332	3.138840672
333	3.137518954
334	3.134422933
335	3.133032696
336	3.131748779
337	3.129200551
338	3.123690205
339	3.120487697
340	3.118884792
341	3.118637613
342	3.118401156
343	3.118199525
344	3.116848714
345	3.114302051
346	3.111129211
347	3.108413557
348	3.10630818
349	3.099318183
350	3.096115823
351	3.093104771
352	3.090610354
353	3.086583164
354	3.084767478
355	3.08222018
356	3.081566481
357	3.081279001
358	3.080069514
359	3.078567115
360	3.078362874
361	3.076126453
362	3.071823835
363	3.069072114
364	3.068881338
365	3.065395629
366	3.062639576
367	3.061134307
368	3.059328681
369	3.056712447
370	3.054026688
371	3.053633929
372	3.05128485
373	3.049558382
374	3.047921921
375	3.044239333
376	3.042444368
377	3.040462401
378	3.038221871
379	3.034140289
380	3.032240432
381	3.031843221
382	3.031261754
383	3.030850621
384	3.030678048
385	3.027055577
386	3.025255961
387	3.022426362
388	3.021192064
389	3.017385958
390	3.016874409
391	3.014906671
392	3.013950885
393	3.012161064
394	3.011086319
395	3.010918875
396	3.007657695
397	3.007404569
398	3.005808421
399	3.004581281
400	3.003033309
401	3.002827662
402	3.000342923
403	3.000048256
404	2.996921067
405	2.994303884
406	2.992931617
407	2.990899904
408	2.9870606
409	2.985933992
410	2.985790129
411	2.983816416
412	2.983685433
413	2.981365943
414	2.980324024
415	2.980075827
416	2.979943729
417	2.977057352
418	2.974650096
419	2.971769181
420	2.971328028
421	2.968999999
422	2.966004259
423	2.96498664
424	2.962225187
425	2.960139679
426	2.959246492
427	2.957654806
428	2.957532402
429	2.95401436
430	2.951833746
431	2.948866112
432	2.947798087
433	2.945632282
434	2.945500244
435	2.944080079
436	2.940154131
437	2.938346781
438	2.934704217
439	2.932419444
440	2.92883906
441	2.928248255
442	2.925337795
443	2.925136097
444	2.923090561
445	2.920014284
446	2.918428789
447	2.918278273
448	2.915829805
449	2.913422717
450	2.912867961
451	2.909299082
452	2.908320307
453	2.904686855
454	2.903382606
455	2.903199159
456	2.900260482
457	2.900127484
458	2.896420849
459	2.893060339
460	2.890884452
461	2.888971782
462	2.888635824
463	2.88494823
464	2.882878301
465	2.881802811
466	2.879685704
467	2.877564863
468	2.876617927
469	2.874462292
470	2.872787703
471	2.870069362
472	2.869945478
473	2.868422805
474	2.866140195
475	2.864076856
476	2.862430372
477	2.861171562
478	2.860775332
479	2.860651008
480	2.858331204
481	2.856101211
482	2.85598878
483	2.853662765
484	2.851429918
485	2.851334097
486	2.849795304
487	2.847843131
488	2.846629017
489	2.844333807
490	2.844210384
491	2.840122194
492	2.84001051
493	2.839313707
494	2.839215316
495	2.839131745
496	2.837303015
497	2.835270209
498	2.834649032
499	2.832650776
500	2.831631343
501	2.828635684
502	2.826103174
503	2.824384343
504	2.821968906
505	2.821861734
506	2.821752722
507	2.821151059
508	2.819346262
509	2.816795814
510	2.815330966
511	2.811198881
512	2.809780061
513	2.808744591
514	2.807984104
515	2.805110509
516	2.801867695
517	2.800970165
518	2.799587849
519	2.796854904
520	2.796644213
521	2.796538203
522	2.794683454
523	2.79426661
524	2.791037601
525	2.787471561
526	2.784939675
527	2.782705899
528	2.781606928
529	2.779365839
530	2.777696687
531	2.777625243
532	2.776727519
533	2.774577933
534	2.774500122
535	2.772441504
536	2.770345606
537	2.769577014
538	2.767827673
539	2.767729937
540	2.766885318
541	2.762873729
542	2.760679132
543	2.760591082
544	2.758771237
545	2.758684399
546	2.757084592
547	2.75518844
548	2.752307464
549	2.749911065
550	2.748396571
551	2.746462719
552	2.746388338
553	2.743947063
554	2.742409707
555	2.739964739
556	2.738437832
557	2.736346354
558	2.735717718
559	2.734533653
560	2.730646683
561	2.730567545
562	2.728348857
563	2.725795952
564	2.72365523
565	2.722677294
566	2.720591912
567	2.717718619
568	2.717643591
569	2.715228541
570	2.712964796
571	2.709707286
572	2.708055119
573	2.705637401
574	2.703090979
575	2.702080136
576	2.699442589
577	2.697909561
578	2.696333641
579	2.694703639
580	2.693551214
581	2.692443781
582	2.689903319
583	2.688144735
584	2.686565435
585	2.685572565
586	2.68424631
587	2.68307475
588	2.682999198
589	2.681599278
590	2.679587152
591	2.679448893
592	2.678571769
593	2.677200778
594	2.67473921
595	2.673852722
596	2.67375313
597	2.6700022
598	2.668427476
599	2.665096599
600	2.66369866
601	2.662535069
602	2.660416824
603	2.658550963
604	2.657176272
605	2.655550407
606	2.653181313
607	2.653061446
608	2.652986436
609	2.650899596
610	2.650128111
611	2.647326588
612	2.64482537
613	2.643187743
614	2.640638431
615	2.638121092
616	2.635561523
617	2.635215349
618	2.632703377
619	2.630272731
620	2.627783994
621	2.626998246
622	2.625816421
623	2.624150375
624	2.621764701
625	2.618728088
626	2.616956975
627	2.616064559
628	2.615802391
629	2.615732614
630	2.613747569
631	2.613231717
632	2.612379352
633	2.610379461
634	2.609609021
635	2.606724496
636	2.606328984
637	2.603735153
638	2.601067119
639	2.598165445
640	2.597420933
641	2.596870799
642	2.59430484
643	2.593252935
644	2.591430045
645	2.590837101
646	2.590796158
647	2.590739096
648	2.590383679
649	2.589368164
650	2.588034754
651	2.587966945
652	2.587133693
653	2.586126598
654	2.586060669
655	2.584078612
656	2.582841954
657	2.581880808
658	2.581564948
659	2.57958225
660	2.578280563
661	2.576734555
662	2.574838581
663	2.573956964
664	2.570565497
665	2.569364481
666	2.567097963
667	2.565424953
668	2.564308398
669	2.563258189
670	2.561983321
671	2.560934323
672	2.559070911
673	2.556588961
674	2.554793876
675	2.553640713
676	2.55334446
677	2.550834553
678	2.5507843
679	2.550012732
680	2.548967266
681	2.545503626
682	2.545389829
683	2.545346461
684	2.544429334
685	2.544343885
686	2.543143587
687	2.541893825
688	2.540857489
689	2.537267337
690	2.535857555
691	2.535734996
692	2.533932463
693	2.533857769
694	2.533758935
695	2.531503591
696	2.529606979
697	2.527789941
698	2.52511259
699	2.523346116
700	2.523279528
701	2.521902517
702	2.521118626
703	2.521081336
704	2.520749942
705	2.519873911
706	2.518223902
707	2.515101451
708	2.515063158
709	2.51315852
710	2.511829303
711	2.511055385
712	2.509470181
713	2.508097624
714	2.50719332
715	2.50408244
716	2.503355827
717	2.50087911
718	2.49972811
719	2.499631562
720	2.498572578
721	2.496391983
722	2.493812897
723	2.491075643
724	2.488670652
725	2.486499451
726	2.484789416
727	2.482750464
728	2.481106128
729	2.480134076
730	2.477560821
731	2.476244084
732	2.474540046
733	2.472981947
734	2.47067879
735	2.469402906
736	2.467924927
737	2.46708144
738	2.464584758
739	2.462999322
740	2.461477025
741	2.460501996
742	2.459276883
743	2.459195364
744	2.459153316
745	2.457720117
746	2.456629583
747	2.454002826
748	2.453919557
749	2.453039649
750	2.451480978
751	2.448410013
752	2.446659556
753	2.444683076
754	2.44416802
755	2.44412166
756	2.443232915
757	2.4402447
758	2.438788709
759	2.437650272
760	2.437123472
761	2.435552808
762	2.434630503
763	2.433836408
764	2.432607578
765	2.430893339
766	2.430247107
767	2.430185542
768	2.428968771
769	2.427761799
770	2.425492446
771	2.42450174
772	2.42391595
773	2.421914838
774	2.418973461
775	2.417644476
776	2.415067762
777	2.413432392
778	2.411772631
779	2.411292447
780	2.409813392
781	2.408814235
782	2.408477007
783	2.408186621
784	2.407544926
785	2.40748681
786	2.40585237
787	2.404902877
788	2.404491617
789	2.402799136
790	2.401754782
791	2.400953688
792	2.400677099
793	2.399239367
794	2.397774487
795	2.395895695
796	2.39401317
797	2.393493659
798	2.392190894
799	2.392133388
800	2.392079395
801	2.390516462
802	2.389637246
803	2.389251565
804	2.389214249
805	2.387541578
806	2.386740786
807	2.384616308
808	2.383495827
809	2.382459574
810	2.381989168
811	2.38021076
812	2.378604343
813	2.376816034
814	2.375283643
815	2.374850015
816	2.374506397
817	2.373025721
818	2.372859869
819	2.3710645
820	2.368633165
821	2.368217167
822	2.367497613
823	2.366846945
824	2.364323515
825	2.362929103
826	2.362856127
827	2.362012264
828	2.360688633
829	2.360617288
830	2.358897225
831	2.35649741
832	2.356164009
833	2.355060351
834	2.352650602
835	2.351628011
836	2.350947676
837	2.350823088
838	2.35034457
839	2.348800773
840	2.347813712
841	2.346730158
842	2.345599618
843	2.34500145
844	2.342514144
845	2.34004019
846	2.339284986
847	2.337507948
848	2.33567245
849	2.334759277
850	2.334117647
851	2.332356218
852	2.329167123
853	2.325877338
854	2.32330199
855	2.321612394
856	2.320866858
857	2.318780978
858	2.317192969
859	2.315581182
860	2.313294674
861	2.31218816
862	2.311695072
863	2.311205071
864	2.309442422
865	2.309092306
866	2.308182171
867	2.307607217
868	2.306752351
869	2.305351843
870	2.302679808
871	2.301055647
872	2.30043249
873	2.300400391
874	2.299918012
875	2.298864064
876	2.29697121
877	2.295519627
878	2.292803948
879	2.29102565
880	2.290328978
881	2.289346756
882	2.287607664
883	2.286200463
884	2.284132888
885	2.283375649
886	2.282976518
887	2.281632339
888	2.280560459
889	2.279318142
890	2.278363078
891	2.277538973
892	2.276858051
893	2.275432521
894	2.274818548
895	2.274181374
896	2.272416165
897	2.270645583
898	2.269940826
899	2.269477444
900	2.268729159
901	2.268332733
902	2.268267673
903	2.267672597
904	2.266987638
905	2.264569172
906	2.264513609
907	2.264411461
908	2.26146312
909	2.260614929
910	2.259174623
911	2.257479314
912	2.25612011
913	2.255406381
914	2.254392677
915	2.253605904
916	2.253377622
917	2.252544369
918	2.25179756
919	2.250052693
920	2.249083666
921	2.247634997
922	2.246109816
923	2.246075627
924	2.244633256
925	2.243957746
926	2.242415422
927	2.241664466
928	2.240431829
929	2.239017318
930	2.237010216
931	2.236315825
932	2.235253255
933	2.234787271
934	2.234068219
935	2.233152256
936	2.2317366
937	2.23169216
938	2.230022505
939	2.229381913
940	2.228191188
941	2.22701786
942	2.226534402
943	2.225755895
944	2.225351471
945	2.224244696
946	2.223468391
947	2.221878092
948	2.221160023
949	2.220649153
950	2.219429923
951	2.218160601
952	2.216403185
953	2.213668217
954	2.212900852
955	2.21142774
956	2.21065432
957	2.210227691
958	2.208925797
959	2.206265879
960	2.205199461
961	2.204929739
962	2.204497475
963	2.20447059
964	2.204413583
965	2.203934913
966	2.203133977
967	2.201560272
968	2.199536337
969	2.1986542
970	2.19730269
971	2.196061623
972	2.196023165
973	2.195368933
974	2.194563855
975	2.194507378
976	2.194326692
977	2.193808558
978	2.193492801
979	2.19186387
980	2.190007534
981	2.189611687
982	2.187857757
983	2.185664528
984	2.18439795
985	2.181853839
986	2.181825844
987	2.180887666
988	2.179900346
989	2.179271831
990	2.178924116
991	2.177494229
992	2.176430407
993	2.175713633
994	2.174420884
995	2.173259269
996	2.171202692
997	2.170736777
998	2.170138593
999	2.169374658
